timestamp_utc,event,process_or_file,notes
2025-11-19T01:36:00Z,External RDP logon,N/A,LogonType=10 from 10.0.8.9 to azuki-sl
2025-11-19T01:49:00Z,Malicious script created,wupdate.ps1,Dropped in Temp and executed
2025-11-19T01:50:00Z,AV exclusions added,powershell.exe,Windows Defender exclusions configured
2025-11-19T01:52:00Z,Tools downloaded,curl.exe,svchost.exe and mm.exe saved to WindowsCache
2025-11-19T01:55:00Z,Credential dumping,mm.exe,sekurlsa::logonpasswords execution
2025-11-19T02:01:00Z,Backdoor admin created,net.exe,Local user 'support' created and added to Administrators
2025-11-19T02:05:00Z,Data staged,export-data.zip,Archive created in C:\ProgramData\WindowsCache
2025-11-19T02:08:00Z,Exfiltration to Discord,curl.exe,export-data.zip sent to Discord webhook
2025-11-19T02:11:00Z,Event logs cleared,wevtutil.exe,Security/System/Application logs cleared
2025-11-19T14:09:00Z,Lateral movement attempt,mstsc.exe,RDP attempt to 10.1.0.188
